Plot,Rep,Month,Year,Treatment,Site,Nurse,RP,Region,A_can,D_his,E_cal,E_mic,H_ham,H_dis,I_spp,L_ser,L_gna,P_inc,P_con,P_div,P_glo,Pt_inc,S_rug,T_fru,T_his,W_muc
LF2_ALIVE13,28,Nov,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LF2_ALIVE13,28,Nov,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LF2_ALIVE14,29,Aug,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE14,29,Aug,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE14,29,Aug,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LF2_ALIVE14,29,Nov,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE14,29,Nov,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LF2_ALIVE14,29,Nov,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LF2_ALIVE15,30,Aug,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE15,30,Aug,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
LF2_ALIVE15,30,Aug,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0
LF2_ALIVE15,30,Nov,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE15,30,Nov,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0
LF2_ALIVE15,30,Nov,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0
LF2_ALIVE2,17,Aug,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE2,17,Aug,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LF2_ALIVE2,17,Aug,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE2,17,Nov,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE2,17,Nov,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE2,17,Nov,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE3,18,Aug,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LF2_ALIVE3,18,Aug,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
LF2_ALIVE3,18,Aug,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1
LF2_ALIVE3,18,Nov,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE3,18,Nov,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LF2_ALIVE3,18,Nov,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1
LF2_ALIVE4,19,Aug,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LF2_ALIVE4,19,Aug,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE4,19,Aug,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LF2_ALIVE4,19,Nov,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE4,19,Nov,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
LF2_ALIVE4,19,Nov,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LF2_ALIVE5,20,Aug,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE5,20,Aug,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE5,20,Aug,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LF2_ALIVE5,20,Nov,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE5,20,Nov,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE5,20,Nov,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LF2_ALIVE6,21,Aug,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE6,21,Aug,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
LF2_ALIVE6,21,Aug,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE6,21,Nov,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE6,21,Nov,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,2,1
LF2_ALIVE6,21,Nov,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0
LF2_ALIVE7,22,Aug,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE7,22,Aug,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LF2_ALIVE7,22,Aug,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE7,22,Nov,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE7,22,Nov,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
