database,projectid,object_type,source_treatmentid,source_treatment_event_key,block,replicate,areaid,treatmentid,source_trt_tsr
GAZP,11,plot,11_42,11_42::event_01,1205,141,3658,596,0
GAZP,11,plot,11_34,11_34::event_01,1205,151,3659,586,0
GAZP,11,plot,11_38,11_38::event_01,1206,13,3660,590,0
GAZP,11,plot,11_46,11_46::event_01,1206,23,3661,600,0
GAZP,11,plot,11_34,11_34::event_01,1206,33,3662,586,0
GAZP,11,plot,11_30,11_30::event_01,1206,43,3663,582,0
GAZP,11,plot,11_42,11_42::event_01,1206,53,3664,596,0
GAZP,11,plot,11_42,11_42::event_01,1207,12,3665,596,0
GAZP,11,plot,11_38,11_38::event_01,1207,22,3666,590,0
GAZP,11,plot,11_34,11_34::event_01,1207,32,3667,586,0
GAZP,11,plot,11_46,11_46::event_01,1207,42,3668,600,0
GAZP,11,plot,11_30,11_30::event_01,1207,52,3669,582,0
GAZP,11,plot,11_30,11_30::event_01,1208,11,3670,582,0
GAZP,11,plot,11_46,11_46::event_01,1208,21,3671,600,0
GAZP,11,plot,11_42,11_42::event_01,1208,31,3672,596,0
GAZP,11,plot,11_38,11_38::event_01,1208,41,3673,590,0
GAZP,11,plot,11_34,11_34::event_01,1208,51,3674,586,0
GAZP,11,plot,11_34,11_34::event_01,1209,11,3675,586,0
GAZP,11,plot,11_38,11_38::event_01,1209,21,3676,590,0
GAZP,11,plot,11_30,11_30::event_01,1209,31,3677,582,0
GAZP,11,plot,11_42,11_42::event_01,1209,41,3678,596,0
GAZP,11,plot,11_46,11_46::event_01,1209,51,3679,600,0
GAZP,11,plot,11_44,11_44::event_01,1210,113,3680,598,0
GAZP,11,plot,11_40,11_40::event_01,1210,123,3681,594,0
GAZP,11,plot,11_48,11_48::event_01,1210,133,3682,602,0
GAZP,11,plot,11_32,11_32::event_01,1210,143,3683,584,0
GAZP,11,plot,11_36,11_36::event_01,1210,153,3684,588,0
GAZP,11,plot,11_36,11_36::event_01,1211,112,3685,588,0
GAZP,11,plot,11_48,11_48::event_01,1211,122,3686,602,0
GAZP,11,plot,11_32,11_32::event_01,1211,132,3687,584,0
GAZP,11,plot,11_40,11_40::event_01,1211,142,3688,594,0
GAZP,11,plot,11_44,11_44::event_01,1211,152,3689,598,0
GAZP,11,plot,11_44,11_44::event_01,1212,112,3690,598,0
GAZP,11,plot,11_36,11_36::event_01,1212,122,3691,588,0
GAZP,11,plot,11_40,11_40::event_01,1212,132,3692,594,0
GAZP,11,plot,11_48,11_48::event_01,1212,142,3693,602,0
GAZP,11,plot,11_32,11_32::event_01,1212,152,3694,584,0
GAZP,11,plot,11_40,11_40::event_01,1213,113,3695,594,0
GAZP,11,plot,11_48,11_48::event_01,1213,123,3696,602,0
GAZP,11,plot,11_36,11_36::event_01,1213,133,3697,588,0
GAZP,11,plot,11_44,11_44::event_01,1213,143,3698,598,0
GAZP,11,plot,11_32,11_32::event_01,1213,153,3699,584,0
GAZP,11,plot,11_40,11_40::event_01,1214,11,3700,594,0
GAZP,11,plot,11_32,11_32::event_01,1214,21,3701,584,0
GAZP,11,plot,11_48,11_48::event_01,1214,31,3702,602,0
GAZP,11,plot,11_36,11_36::event_01,1214,41,3703,588,0
GAZP,11,plot,11_44,11_44::event_01,1214,51,3704,598,0
GAZP,11,plot,11_32,11_32::event_01,1215,13,3705,584,0
GAZP,11,plot,11_36,11_36::event_01,1215,23,3706,588,0
GAZP,11,plot,11_40,11_40::event_01,1215,33,3707,594,0
GAZP,11,plot,11_48,11_48::event_01,1215,43,3708,602,0
GAZP,11,plot,11_44,11_44::event_01,1215,53,3709,598,0
GAZP,11,plot,11_32,11_32::event_01,1216,12,3710,584,0
GAZP,11,plot,11_48,11_48::event_01,1216,22,3711,602,0
GAZP,11,plot,11_44,11_44::event_01,1216,32,3712,598,0
GAZP,11,plot,11_36,11_36::event_01,1216,42,3713,588,0
GAZP,11,plot,11_40,11_40::event_01,1216,52,3714,594,0
GAZP,11,plot,11_32,11_32::event_01,1217,111,3715,584,0
GAZP,11,plot,11_44,11_44::event_01,1217,121,3716,598,0
GAZP,11,plot,11_40,11_40::event_01,1217,131,3717,594,0
GAZP,11,plot,11_48,11_48::event_01,1217,141,3718,602,0
GAZP,11,plot,11_36,11_36::event_01,1217,151,3719,588,0
GAZP,11,plot,11_48,11_48::event_01,1218,11,3720,602,0
GAZP,11,plot,11_32,11_32::event_01,1218,21,3721,584,0
GAZP,11,plot,11_36,11_36::event_01,1218,31,3722,588,0
GAZP,11,plot,11_44,11_44::event_01,1218,41,3723,598,0
GAZP,11,plot,11_40,11_40::event_01,1218,51,3724,594,0
GAZP,11,plot,11_43,11_43::event_01,1501,113,3725,597,0
GAZP,11,plot,11_31,11_31::event_01,1501,123,3726,583,0
GAZP,11,plot,11_39,11_39::event_01,1501,133,3727,591,0
GAZP,11,plot,11_47,11_47::event_01,1501,143,3728,601,0
GAZP,11,plot,11_35,11_35::event_01,1501,153,3729,587,0
GAZP,11,plot,11_43,11_43::event_01,1502,112,3730,597,0
GAZP,11,plot,11_35,11_35::event_01,1502,122,3731,587,0
GAZP,11,plot,11_39,11_39::event_01,1502,132,3732,591,0
GAZP,11,plot,11_47,11_47::event_01,1502,142,3733,601,0
GAZP,11,plot,11_31,11_31::event_01,1502,152,3734,583,0
GAZP,11,plot,11_31,11_31::event_01,1503,112,3735,583,0
GAZP,11,plot,11_47,11_47::event_01,1503,122,3736,601,0
GAZP,11,plot,11_39,11_39::event_01,1503,132,3737,591,0
GAZP,11,plot,11_35,11_35::event_01,1503,142,3738,587,0
GAZP,11,plot,11_43,11_43::event_01,1503,152,3739,597,0
GAZP,11,plot,11_35,11_35::event_01,1504,13,3740,587,0
GAZP,11,plot,11_47,11_47::event_01,1504,23,3741,601,0
GAZP,11,plot,11_39,11_39::event_01,1504,33,3742,591,0
GAZP,11,plot,11_31,11_31::event_01,1504,43,3743,583,0
GAZP,11,plot,11_43,11_43::event_01,1504,53,3744,597,0
GAZP,11,plot,11_39,11_39::event_01,1505,111,3745,591,0
GAZP,11,plot,11_31,11_31::event_01,1505,121,3746,583,0
GAZP,11,plot,11_43,11_43::event_01,1505,131,3747,597,0
GAZP,11,plot,11_47,11_47::event_01,1505,141,3748,601,0
GAZP,11,plot,11_35,11_35::event_01,1505,151,3749,587,0
GAZP,11,plot,11_35,11_35::event_01,1506,13,3750,587,0
GAZP,11,plot,11_39,11_39::event_01,1506,23,3751,591,0
GAZP,11,plot,11_47,11_47::event_01,1506,33,3752,601,0
GAZP,11,plot,11_31,11_31::event_01,1506,43,3753,583,0
GAZP,11,plot,11_43,11_43::event_01,1506,53,3754,597,0
GAZP,11,plot,11_47,11_47::event_01,1507,112,3755,601,0
GAZP,11,plot,11_43,11_43::event_01,1507,122,3756,597,0
GAZP,11,plot,11_35,11_35::event_01,1507,132,3757,587,0
GAZP,11,plot,11_31,11_31::event_01,1507,142,3758,583,0
GAZP,11,plot,11_39,11_39::event_01,1507,152,3759,591,0
GAZP,11,plot,11_35,11_35::event_01,1508,111,3760,587,0
GAZP,11,plot,11_47,11_47::event_01,1508,121,3761,601,0
GAZP,11,plot,11_31,11_31::event_01,1508,131,3762,583,0
GAZP,11,plot,11_39,11_39::event_01,1508,141,3763,591,0
GAZP,11,plot,11_43,11_43::event_01,1508,151,3764,597,0
GAZP,11,plot,11_39,11_39::event_01,1509,111,3765,591,0
GAZP,11,plot,11_31,11_31::event_01,1509,121,3766,583,0
GAZP,11,plot,11_35,11_35::event_01,1509,131,3767,587,0
GAZP,11,plot,11_43,11_43::event_01,1509,141,3768,597,0
GAZP,11,plot,11_47,11_47::event_01,1509,151,3769,601,0
GAZP,11,plot,11_37,11_37::event_01,1510,113,3770,589,0
GAZP,11,plot,11_49,11_49::event_01,1510,123,3771,603,0
GAZP,11,plot,11_45,11_45::event_01,1510,133,3772,599,0
GAZP,11,plot,11_41,11_41::event_01,1510,143,3773,595,0
GAZP,11,plot,11_33,11_33::event_01,1510,153,3774,585,0
GAZP,11,plot,11_45,11_45::event_01,1511,112,3775,599,0
GAZP,11,plot,11_41,11_41::event_01,1511,122,3776,595,0
GAZP,11,plot,11_33,11_33::event_01,1511,132,3777,585,0
GAZP,11,plot,11_37,11_37::event_01,1511,142,3778,589,0
GAZP,11,plot,11_49,11_49::event_01,1511,152,3779,603,0
GAZP,11,plot,11_49,11_49::event_01,1512,112,3780,603,0
GAZP,11,plot,11_45,11_45::event_01,1512,122,3781,599,0
GAZP,11,plot,11_37,11_37::event_01,1512,132,3782,589,0
GAZP,11,plot,11_33,11_33::event_01,1512,142,3783,585,0
GAZP,11,plot,11_41,11_41::event_01,1512,152,3784,595,0
GAZP,11,plot,11_37,11_37::event_01,1513,113,3785,589,0
GAZP,11,plot,11_49,11_49::event_01,1513,123,3786,603,0
GAZP,11,plot,11_41,11_41::event_01,1513,133,3787,595,0
GAZP,11,plot,11_33,11_33::event_01,1513,143,3788,585,0
GAZP,11,plot,11_45,11_45::event_01,1513,153,3789,599,0
GAZP,11,plot,11_41,11_41::event_01,1514,111,3790,595,0
GAZP,11,plot,11_49,11_49::event_01,1514,121,3791,603,0
GAZP,11,plot,11_37,11_37::event_01,1514,131,3792,589,0
GAZP,11,plot,11_33,11_33::event_01,1514,141,3793,585,0
GAZP,11,plot,11_45,11_45::event_01,1514,151,3794,599,0
GAZP,11,plot,11_45,11_45::event_01,1515,113,3795,599,0
GAZP,11,plot,11_49,11_49::event_01,1515,123,3796,603,0
GAZP,11,plot,11_37,11_37::event_01,1515,133,3797,589,0
GAZP,11,plot,11_41,11_41::event_01,1515,143,3798,595,0
GAZP,11,plot,11_33,11_33::event_01,1515,153,3799,585,0
GAZP,11,plot,11_37,11_37::event_01,1516,112,3800,589,0
GAZP,11,plot,11_45,11_45::event_01,1516,122,3801,599,0
GAZP,11,plot,11_41,11_41::event_01,1516,132,3802,595,0
GAZP,11,plot,11_49,11_49::event_01,1516,142,3803,603,0
GAZP,11,plot,11_33,11_33::event_01,1516,152,3804,585,0
GAZP,11,plot,11_33,11_33::event_01,1517,11,3805,585,0
GAZP,11,plot,11_41,11_41::event_01,1517,21,3806,595,0
GAZP,11,plot,11_37,11_37::event_01,1517,31,3807,589,0
GAZP,11,plot,11_49,11_49::event_01,1517,41,3808,603,0
GAZP,11,plot,11_45,11_45::event_01,1517,51,3809,599,0
GAZP,11,plot,11_41,11_41::event_01,1518,11,3810,595,0
