project_code,projectid,source_treatmentid,tsr,source_month,source_day,supabase_areaid,supabase_veg_resultid,current_year,current_month,proposed_month,month_action,current_day,proposed_day,day_action
GAZP1,1,1_17,6,2,,266,266,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,267,267,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,268,268,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,269,269,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,270,270,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,271,271,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,272,272,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,273,273,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,274,274,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,275,275,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,276,276,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,277,277,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,278,278,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,279,279,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,280,280,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,281,281,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,282,282,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,283,283,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,284,284,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,285,285,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,286,286,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_18,6,2,,287,287,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_18,6,2,,288,288,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_18,6,2,,289,289,2016,,2,update_missing,,,source_missing_leave_unchanged
